feature_names,lead_time_1,lead_time_2
t2m_x_7D_lag1,0.06,
t2m_x_7D_lag2,0.02,0.03
t2m_x_7D_lag3,0.03,0.03
t2m_x_7D_lag4,0.03,0.03
t2m_x_7D_lag5,,0.03
z_7D_lag1,0.06,
z_7D_lag2,0.02,0.03
z_7D_lag3,0.02,0.02
z_7D_lag4,0.03,0.03
z_7D_lag5,,0.03
rain_7D_lag1,0.07,
rain_7D_lag2,0.03,0.03
rain_7D_lag3,0.02,0.02
rain_7D_lag4,0.02,0.02
rain_7D_lag5,,0.03
sm_7D_lag1,0.03,
sm_7D_lag2,0.03,0.03
sm_7D_lag3,0.03,0.03
sm_7D_lag4,0.03,0.03
sm_7D_lag5,,0.04
sea_7D_lag1,0.05,
sea_7D_lag2,0.03,0.04
sea_7D_lag3,0.03,0.04
sea_7D_lag4,0.03,0.03
sea_7D_lag5,,0.04
sst_nwmed_7D_lag1,0.06,
sst_nwmed_7D_lag2,0.04,0.06
sst_nwmed_7D_lag3,0.04,0.05
sst_nwmed_7D_lag4,0.03,0.04
sst_nwmed_7D_lag5,,0.04
sst_cnaa_7D_lag1,0.04,
sst_cnaa_7D_lag2,0.04,0.06
sst_cnaa_7D_lag3,0.04,0.04
sst_cnaa_7D_lag4,0.04,0.05
sst_cnaa_7D_lag5,,0.06
